# Forces            
# CofR              : (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
# Time              forces(pressure viscous)	moments(pressure viscous)
0                   	((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (1.683783109805e+03 3.464133461722e+00 1.470662583594e-18)) ((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-1.732066730861e+00 8.418915549023e+02 -4.374993430802e+00))
0.005               	((1.552923961596e+05 3.098199405078e+05 -7.045328488577e-15) (1.717516916235e+03 3.485867469389e+03 -1.674862502090e-12)) ((-1.549099702539e+05 7.764619807978e+04 1.552923974742e+03) (-1.742933734695e+03 8.587584581176e+02 1.645378729750e+01))
0.01                	((1.327465600415e+03 -3.016661969722e+05 -1.513444745785e-16) (1.551224290672e+03 -3.923810086099e+02 9.387167315022e-16)) ((1.508330984861e+05 6.637328002073e+02 1.327463737071e+01) (1.961905043050e+02 7.756121453361e+02 5.336136385496e+00))
0.015               	((1.748077277530e+03 -1.210403560716e+03 2.578342694714e-16) (1.427779153428e+03 -3.217252264694e+02 4.812021843060e-18)) ((6.052017803578e+02 8.740386387651e+02 1.748077219518e+01) (1.608626132347e+02 7.138895767139e+02 5.933774089208e+00))
0.02                	((1.584595548904e+03 -4.967605312002e+02 4.238545999459e-17) (1.320021200163e+03 -2.661905865293e+02 -9.793392854399e-18)) ((2.483802656001e+02 7.922977744518e+02 1.584595510983e+01) (1.330952932646e+02 6.600106000814e+02 5.376270276676e+00))
0.025               	((1.333259043788e+03 -3.295300902032e+02 4.570334551878e-17) (1.232809279068e+03 -2.247922994376e+02 -4.679600754112e-18)) ((1.647650451016e+02 6.666295218942e+02 1.333259035546e+01) (1.123961497188e+02 6.164046395339e+02 3.209600818568e+00))
0.03                	((1.182112247464e+03 -2.695131270438e+02 5.965019578557e-17) (1.157981738057e+03 -1.942670615754e+02 5.348952467456e-17)) ((1.347565635219e+02 5.910561237322e+02 1.182112245256e+01) (9.713353078771e+01 5.789908690285e+02 1.290121593280e+00))
0.035               	((1.072913953506e+03 -2.212933519891e+02 7.024091348321e-17) (1.093607282506e+03 -1.708253979483e+02 4.428236580254e-17)) ((1.106466759946e+02 5.364569767532e+02 1.072913945621e+01) (8.541269897416e+01 5.468036412528e+02 7.629920992294e-02))
0.04                	((9.886316505510e+02 -1.822893920171e+02 8.221966303208e-17) (1.038826808862e+03 -1.516682044294e+02 -9.618634290465e-17)) ((9.114469600857e+01 4.943158252755e+02 9.886316255927e+00) (7.583410221471e+01 5.194134044309e+02 -5.324054368578e-01))
0.045               	((9.211182051820e+02 -1.536802300273e+02 8.888908983430e-17) (9.916032778181e+02 -1.359483861070e+02 -4.235704323998e-17)) ((7.684011501364e+01 4.605591025910e+02 9.211181818172e+00) (6.797419305348e+01 4.958016389091e+02 -1.050618382919e+00))
